k,sample_silhouette,sample_inertia,calinski_harabasz
2,0.7013686238898672,224206.61097383965,5890.237812539831
3,0.6694405138380584,139774.9995114372,6232.412071553349
8,0.524202342256031,39751.445275183185,8049.488113539726
9,0.5203517463113909,35418.72646096225,7979.614974305878
6,0.5157705064179994,57420.7103194486,7497.311018245546
7,0.5155815738180093,46250.79762134908,7956.071867495479
5,0.4838526873972383,80945.78785363416,6286.3966403294735
4,0.4703636509730711,108932.59823419046,5801.798226532775
