model,round,cv_acc_mean,cv_f1_mean,cv_f2_mean,cv_auc_mean,test_acc,test_f1,test_f2,test_auc,test_sensitivity,test_specificity,test_fnr,test_ppv,test_npv,threshold,cutoff_method,tn,fp,fn,tp
stacking_risk_score,stacking_risk_score,0.729623054817722,0.7222515902767368,0.7106273046838136,0.7959516768729176,0.7206321462384385,0.7269750889679716,0.7416712655029191,0.7930253902443196,0.7518033269542176,0.690112424329778,0.2481966730457824,0.703734325478848,0.7395736793327155,0.4,max F2 on OOF,4788.0,2150.0,1686.0,5107.0
stacking_risk_score,stacking_risk_score,0.729623054817722,0.7222515902767368,0.7106273046838136,0.7959516768729176,0.7282062486344767,0.7172727272727273,0.7049048512463146,0.7930253902443196,0.6968938613278375,0.7588642260017296,0.3031061386721625,0.7388793507101608,0.7188694702348444,0.5,highest threshold with OOF FNR ≤ 0.03,5265.0,1673.0,2059.0,4734.0
stacking_risk_score,stacking_risk_score,0.729623054817722,0.7222515902767368,0.7106273046838136,0.7959516768729176,,,,0.7930253902443196,,,,,,,continuous risk score (AUC only),,,,
