model,round,cv_f2_mean,test_acc,test_f1,test_auc,test_recall,test_f2,decision_threshold
logistic_regression,round_2_tuned,0.6815133741484969,0.7037360716626612,0.7271263751006172,0.7845853859786563,0.7978801707640217,0.7679882109558761,0.4
random_forest,round_2_tuned,0.7044056309749583,0.7124025926735125,0.7292052389768909,0.7928391918375949,0.7827175033122332,0.7603970024598136,0.4
mlp,round_2_tuned,0.7105375404933229,0.7131308717500546,0.7289616734328769,0.7915947253283344,0.7797732960400412,0.75862167736022,0.4
xgboost,round_2_tuned,0.7085463217779578,0.7166266113174569,0.7276545110940016,0.7928817338928035,0.765199470042691,0.7497259562683898,0.4
hist_gradient_boosting,round_2_tuned,0.7063837929603555,0.7187386206394291,0.727490826982783,0.7925162859686712,0.7588694244074783,0.7459986686347718,0.4
