model,round_1_test_acc,round_2_test_acc,delta_test_acc,round_1_test_f1,round_2_test_f1,delta_test_f1,round_1_test_auc,round_2_test_auc,delta_test_auc
hist_gradient_boosting,0.7303910858641032,0.7301726021411404,-0.00021848372296273677,0.7132011155872328,0.713213096988931,1.1981401698224481e-05,0.7989789652134145,0.7993182195379682,0.0003392543245537283
logistic_regression,0.7224528439297939,0.7223071881144855,-0.00014565581530845417,0.7028460038986355,0.7026900584795321,-0.0001559454191033538,0.7884036680460195,0.7884263076335045,2.263958748505157e-05
random_forest,0.73068239749472,0.7300997742334863,-0.0005826232612337057,0.7154946914909986,0.7142196175200494,-0.0012750739709492809,0.7980938888942405,0.7979382019465633,-0.0001556869476772027
mlp,0.732721578909038,0.7305367416794115,-0.0021848372296264795,0.7154156327543424,0.7213435758397349,0.005927943085392462,0.7973832668283958,0.7971653793645868,-0.0002178874638090189
