model,round_1_test_acc,round_2_test_acc,delta_test_acc,round_1_test_f1,round_2_test_f1,delta_test_f1,round_1_test_auc,round_2_test_auc,delta_test_auc
random_forest,0.7116014856893161,0.5822591216954337,-0.12934236399388244,0.7309417040358744,0.6964115592251509,-0.034530144810723584,0.7925362202633687,0.7928391918375949,0.00030297157422620735
hist_gradient_boosting,0.70198820187896,0.5855363775398733,-0.11645182433908674,0.7308602999210734,0.6978497478099284,-0.03301055211114501,0.7922247721050746,0.7925162859686712,0.00029151386359660414
logistic_regression,0.7011870948947637,0.5387080329182142,-0.1624790619765495,0.7285837136998081,0.6788683836949909,-0.049715330004817204,0.7846098503126491,0.7845853859786563,-2.4464333992724185e-05
mlp,0.695506518097735,0.5492680795280751,-0.1462384385696599,0.7306230268668256,0.6837667978130908,-0.046856229053734766,0.7917267223983857,0.7915947253283344,-0.0001319970700512929
