model,cv_acc_mean,cv_f1_mean,cv_auc_mean,test_acc,test_f1,test_auc,round,cv_f2_mean,test_recall,test_f2,decision_threshold
hist_gradient_boosting,,,,0.5706066564707596,0.6925964546402502,0.7986111302662342,round_2_tuned,0.6950635245595813,0.9777712350949508,0.8395055486741323,0.181908376225697
hist_gradient_boosting,0.7261757793209723,0.7122513793073529,0.7953678324655321,0.7069404995994465,0.7348444913020559,0.7979239116352499,round_1,,,,
stacking,0.7277488540378763,0.7170277668179411,0.7987391910531716,0.6933945087757629,0.7306806550665302,0.7969538148596067,stacking_ensemble,,,,
random_forest,0.7259687956928451,0.7099321693450447,0.7949144899877324,0.6995120530187168,0.7319038336582196,0.7967069224135184,round_1,,,,
mlp,,,,0.5710436239166848,0.6927811391612768,0.7946033503958447,round_2_tuned,0.7009109249610744,0.9776240247313412,0.8395489368157568,0.1690575464048139
mlp,0.7239195348146639,0.7139387698613688,0.7923243985419921,0.6989294297574831,0.7328767123287672,0.7943781851639876,round_1,,,,
logistic_regression,,,,0.578617726312723,0.6954416254342562,0.7937004403622555,round_2_tuned,0.7003529188192373,0.9724716620050052,0.8388145364045001,0.1914109109525994
logistic_regression,0.7226155940819357,0.7135210351729133,0.7901291434662816,0.6954336901900808,0.7336984207845135,0.7936778007747705,round_1,,,,
random_forest,,,,0.5397276236253733,0.6796431467964315,0.7855045277689712,round_2_tuned,0.6991440300463737,0.9868982776387456,0.8357643304161368,0.1145725144953086
