model,round,cv_acc_mean,cv_f1_mean,cv_f2_mean,cv_auc_mean,test_acc,test_f1,test_f2,test_auc,test_sensitivity,test_specificity,test_fnr,test_ppv,test_npv,best_cutoff,cutoff_method,tn,fp,fn,tp
stacking_risk_score,stacking_risk_score,0.729605049784493,0.7229135152427217,0.7123392470030633,0.7960618260095265,0.6656470759595077,0.7224808075923351,0.8092736038134446,0.7558184164196292,0.8797291329309583,0.4560392043816662,0.12027086706904166,0.6129230769230769,0.7947751821150465,2,max F2 on OOF risk scores,3164,3774,817,5976
stacking_risk_score,stacking_risk_score,0.729605049784493,0.7229135152427217,0.7123392470030633,0.7960618260095265,0.5631053819823757,0.6886709222066532,0.8367382970137207,0.7558184164196292,0.9767407625496835,0.15811473046987604,0.0232592374503165,0.5318210965052902,0.8741035856573706,1,highest cutoff with OOF FNR ≤ 0.03,1097,5841,158,6635
