k,sample_silhouette,sample_inertia,calinski_harabasz
2,0.7248981063314885,108793.89748910116,9666.93393496242
4,0.4736461019874772,59846.22822520918,7217.547487613721
6,0.4579598689562945,42028.3451895847,6587.394193303985
3,0.4544735123088934,83926.39981953999,7004.911463067209
5,0.4542236532070135,48572.37623807875,6958.050258194525
7,0.4042722056196703,37489.452153614926,6253.668072724721
9,0.39887807542633064,31454.323245539916,5707.600779853766
8,0.3979604351345906,34464.565203437094,5892.148373984817
