model,round,cv_f2_mean,test_acc,test_f1,test_auc,test_recall,test_f2,decision_threshold
random_forest,round_2_tuned,0.6991440300463737,0.5397276236253733,0.6796431467964315,0.7855045277689712,0.9868982776387457,0.8357643304161368,0.11457251449530867
hist_gradient_boosting,round_2_tuned,0.6950635245595813,0.5706066564707596,0.6925964546402502,0.7986111302662342,0.9777712350949507,0.8395055486741323,0.18190837622569703
mlp,round_2_tuned,0.7009109249610744,0.5710436239166848,0.6927811391612768,0.7946033503958447,0.9776240247313411,0.8395489368157568,0.16905754640481396
logistic_regression,round_2_tuned,0.7003529188192373,0.578617726312723,0.6954416254342562,0.7937004403622555,0.9724716620050051,0.8388145364045001,0.19141091095259943
