model,round_1_test_acc,round_2_test_acc,delta_test_acc,round_1_test_f1,round_2_test_f1,delta_test_f1,round_1_test_auc,round_2_test_auc,delta_test_auc
xgboost,0.704027383293278,0.7166266113174569,0.012599228024178899,0.7297153498270816,0.7276545110940016,-0.0020608387330800504,0.7922180778315493,0.7928817338928035,0.0006636560612541809
random_forest,0.7116014856893161,0.7124025926735125,0.0008011069841963314,0.7309417040358744,0.7292052389768909,-0.0017364650589835051,0.7925362202633687,0.7928391918375949,0.00030297157422620735
hist_gradient_boosting,0.70198820187896,0.7187386206394291,0.01675041876046901,0.7308602999210734,0.727490826982783,-0.0033694729382903743,0.7922247721050746,0.7925162859686712,0.00029151386359660414
logistic_regression,0.7011870948947637,0.7037360716626612,0.0025489767678974484,0.7285837136998081,0.7271263751006172,-0.0014573385991909493,0.7846098503126491,0.7845853859786563,-2.4464333992724185e-05
mlp,0.695506518097735,0.7131308717500546,0.017624353652319624,0.7306230268668256,0.7289616734328769,-0.0016613534339486868,0.7917267223983857,0.7915947253283344,-0.0001319970700512929
