model,cv_acc_mean,cv_f1_mean,cv_auc_mean,test_acc,test_f1,test_auc,round
hist_gradient_boosting,,,0.800946126123423,0.7301726021411404,0.713213096988931,0.7993182195379682,round_2_tuned
hist_gradient_boosting,0.73568454765669,0.7206584011176266,0.8017012866930049,0.7303910858641032,0.7132011155872328,0.7989789652134145,round_1
random_forest,0.7356845576020536,0.7230947006876998,0.8007834296810895,0.73068239749472,0.7154946914909986,0.7980938888942405,round_1
random_forest,,,0.8003022572962024,0.7300997742334863,0.7142196175200494,0.7979382019465633,round_2_tuned
mlp,0.7323526569535828,0.7187747814905234,0.7983629326352537,0.732721578909038,0.7154156327543424,0.7973832668283958,round_1
mlp,,,0.7989510900408123,0.7305367416794115,0.7213435758397349,0.7971653793645868,round_2_tuned
logistic_regression,,,0.7915023599928516,0.7223071881144855,0.7026900584795321,0.7884263076335045,round_2_tuned
logistic_regression,0.7286201421457652,0.7111723027311461,0.7917017119877843,0.7224528439297939,0.7028460038986355,0.7884036680460195,round_1
