,age_years,height,bmi,ap_hi,ap_lo,cholesterol,gluc,cardio
age_years,1.0,-0.0855735421155821,0.1023302860633008,0.20942893677613242,0.15544754191239074,0.15546851426894095,0.09888997700983047,0.23928072545914297
height,-0.0855735421155821,1.0,-0.2083110955917704,0.01837346597776145,0.03617870566360408,-0.054699034545731134,-0.021018093018972384,-0.011822681474652947
bmi,0.1023302860633008,-0.2083110955917704,1.0,0.2665420158179989,0.23776699125587433,0.1710519252418039,0.11933818715816333,0.18948104528696122
ap_hi,0.20942893677613242,0.01837346597776145,0.2665420158179989,1.0,0.7266736151817378,0.1947178792669791,0.09431973207109275,0.42753931097624565
ap_lo,0.15544754191239074,0.03617870566360408,0.23776699125587433,0.7266736151817378,1.0,0.1593438180428564,0.07499937336055684,0.33600609288772315
cholesterol,0.15546851426894095,-0.054699034545731134,0.1710519252418039,0.1947178792669791,0.1593438180428564,1.0,0.4505808388564031,0.22149370664322598
gluc,0.09888997700983047,-0.021018093018972384,0.11933818715816333,0.09431973207109275,0.07499937336055684,0.4505808388564031,1.0,0.08962648091770882
cardio,0.23928072545914297,-0.011822681474652947,0.18948104528696122,0.42753931097624565,0.33600609288772315,0.22149370664322598,0.08962648091770882,1.0
